file_name,n_tokens
__MACOSX/._ih-dev-static-export-filtered,429
__MACOSX/._developer-marketing,269
__MACOSX/._careers-2023,269
index.html,45061
__MACOSX/._index.html,269
__MACOSX/._dictionary-topics,269
__MACOSX/._about-us,269
__MACOSX/._about-us-2,269
__MACOSX/._about-us-2023-preview,269
__MACOSX/._blog,269
__MACOSX/._blog-posts-resources,269
__MACOSX/._dictionary,269
__MACOSX/._behind-the-screens-test,269
__MACOSX/._demandbase-preview,269
__MACOSX/._expertise,269
__MACOSX/._services,269
developer-marketing/index.html,55585
__MACOSX/developer-marketing/._index.html,333
careers-2023/index.html,46692
__MACOSX/careers-2023/._index.html,332
__MACOSX/dictionary-topics/._demand-gen,433
__MACOSX/dictionary-topics/._sales,269
__MACOSX/dictionary-topics/._event-planning,269
__MACOSX/dictionary-topics/._martech,269
about-us/index.html,157170
__MACOSX/about-us/._index.html,269
__MACOSX/about-us/._our-people,269
__MACOSX/about-us/._our-partners,269
about-us-2/index.html,42663
__MACOSX/about-us-2/._index.html,269
about-us-2023-preview/index.html,46528
__MACOSX/about-us-2023-preview/._index.html,329
__MACOSX/blog/._growing-a-developer-community,269
__MACOSX/blog/._why-im-optimistic-about-marketing-in-2023,269
__MACOSX/blog/._employee-spotlight-meet-jordan-stoner,269
__MACOSX/blog/._dont-fear-a-lack-of-email-engagement,269
__MACOSX/blog/._are-you-co-marketing-or-co-selling,269
__MACOSX/blog/._iron-horse-2021-awards,269
__MACOSX/blog/._revops-drivers,269
__MACOSX/blog/._should-you-host-a-hybrid-event,269
__MACOSX/blog/._case-study-bringing-brillio-message,269
__MACOSX/blog/._inside-iron-horse-meet-madison-shaw,269
__MACOSX/blog/._what-is-account-based-marketing,269
blog/index.html,42932
__MACOSX/blog/._index.html,269
__MACOSX/blog/._why-developer-acquisition-matters,269
__MACOSX/blog/._why-we-recommend-unique-lead-management,269
__MACOSX/blog/._category,269
__MACOSX/blog/._preparing-for-ccpa,269
__MACOSX/blog/._midmarket-marketing-teams-budgeting-reporting,269
__MACOSX/blog/._drive-successful-partnership-marketing-outcomes,269
__MACOSX/blog/._five-lessons-from-developer-marketing-for-abm-infographic,269
__MACOSX/blog/._frankenstein-the-state-of-b2b-data,269
__MACOSX/blog/._developer-marketing-content,269
__MACOSX/blog/._revops-benefits,269
__MACOSX/blog/._inside-iron-horse-meet-maddie-tein,269
__MACOSX/blog/._marketing-automation-avoiding-manual-traps,269
__MACOSX/blog/._four-fundamental-models-hybrid-events,269
__MACOSX/blog/._inside-iron-horse-meet-robert-kane,269
__MACOSX/blog/._what-is-b2b-growth-marketing,269
__MACOSX/blog/._humanize-account-based-marketing-content-strategy,269
__MACOSX/blog/._martech-selection,269
__MACOSX/blog/._author,269
__MACOSX/blog/._digital-experiences-for-abm,269
__MACOSX/blog/._how-to-use-intent-data,269
__MACOSX/blog/._what-is-devrel,269
__MACOSX/blog/._employee-spotlight-meet-kat-andersson,269
__MACOSX/blog/._dont-use-leads-only-use-contacts-in-your-crm,269
__MACOSX/blog/._digital-experiences-for-abm-2,269
__MACOSX/blog/._tech-vs-developer-marketing,269
__MACOSX/blog/._marketing-needs-project-management-software,269
__MACOSX/blog/._virtual-event-analytics,269
__MACOSX/blog/._partnership-agreement-questions-to-ask,269
__MACOSX/blog/._virtual-events-differ-from-physical-events,269
__MACOSX/blog/._making-the-case-for-not-using-leads-in-your-crm,269
__MACOSX/blog/._b2b-marketing-predictions-2023,269
__MACOSX/blog/._why-partnership-marketing-programs-fail,269
__MACOSX/blog/._virtual-conference-best-practices-for-b2b-enterprises,269
__MACOSX/blog/._attendee-engagement-at-virtual-events,269
__MACOSX/blog/._omnichannel-abm-strategy,269
__MACOSX/blog/._5-issues-to-consider-when-buying-marketing-automation,269
__MACOSX/blog/._b2b-marketing-event-goals,269
__MACOSX/blog/._personalization-infographic,269
__MACOSX/blog/._what-wellness-means-to-ironhorse,269
__MACOSX/blog/._beyond-developer-acquisition-to-advocacy,269
__MACOSX/blog/._using-multiple-marketing-automation-platforms-pros-cons,269
__MACOSX/blog/._2022-enterprise-b2b-tech-marketing-benchmarks-report-findings,269
__MACOSX/blog/._inside-iron-horse-meet-zeb-khan,269
__MACOSX/blog/._marketo-bot-filtering,269
__MACOSX/blog/._pillars-of-b2b-marketing-maturity,269
__MACOSX/blog/._virtual-event-planning,269
__MACOSX/blog/._lead-management-point-of-interest-hybrid-unique,269
__MACOSX/blog/._lead-thresholding-dont-do-it,269
__MACOSX/blog/._best-virtual-event-examples,269
__MACOSX/blog/._why-developer-communities-matter-to-developers,269
__MACOSX/blog/._employee-spotlight-meet-aubrie-harper,269
__MACOSX/blog/._employee-spotlight-meet-monica-behncke,269
__MACOSX/blog/._dont-build-a-customer-success-function,269
__MACOSX/blog/._hiring-developer-marketing-manager,269
__MACOSX/blog/._b2c-marketers-budget-plan-better-than-b2b,269
__MACOSX/blog/._employee-spotlight-meet-ezra-hockman,269
__MACOSX/blog/._can-a-digital-marketing-agency-help-navigate-2023,269
__MACOSX/blog/._chatbots-must-have-for-virtual-events,269
__MACOSX/blog/._company-culture-must-be-intentionally-created,269
__MACOSX/blog/._get-started-revops,269
__MACOSX/blog/._anonymous-to-advocate-using-the-right-developer-marketing-metrics,269
__MACOSX/blog/._evolving-marketing-measurement,269
__MACOSX/blog/._virtual-events,269
__MACOSX/blog/._challenges-in-not-using-leads-in-your-crm,269
__MACOSX/blog/._b2b-marketing-budget-cuts,269
__MACOSX/blog/._account-based-marketing-roi,269
__MACOSX/blog/._iron-horse-drift-solutions-partner-certification,269
__MACOSX/blog/._employee-spotlight-meet-stephanie-siemens,269
__MACOSX/blog/._introducing-the-enterprise-growth-alliance,269
__MACOSX/blog/._developer-marketing-channels,269
__MACOSX/blog/._marketing-acronyms-crossword-puzzle,269
__MACOSX/blog/._hosting-virtual-event,269
__MACOSX/blog/._case-study-achieving-growth-for-1b-saas-company,269
__MACOSX/blog/._smaller-companies-are-better-at-marketing-to-developers,269
__MACOSX/blog/._employee-spotlight-meet-mariska-armijo,269
__MACOSX/blog/._marketing-automation-at-scale-defined,269
__MACOSX/blog/._common-integrated-marketing-mistakes,269
__MACOSX/blog/._virtual-sales-kickoff,269
__MACOSX/blog/._crowdsourcing-in-marketing-automation,269
__MACOSX/blog/._inside-iron-horse-meet-todd-johnson,269
__MACOSX/blog/._maturity-marketing-planning-measurement,269
__MACOSX/blog/._revops-challenges,269
__MACOSX/blog/._growth-marketing-resolutions,269
__MACOSX/blog/._employee-spotlight-meet-nora-maus,269
__MACOSX/blog/._agile-marketing-planning-and-budgeting,269
__MACOSX/blog/._account-based-marketing-terms,269
__MACOSX/blog/._developer-interview-engagement,269
__MACOSX/blog/._simulive-webinar-benefits-and-challenges,269
__MACOSX/blog/._inside-iron-horse-meet-mala-cornwall,269
__MACOSX/blog/._the-five-and-a-half-pillars-of-data,269
__MACOSX/blog/._power-of-data-visualization,269
__MACOSX/blog/._what-is-b2d-marketing,269
__MACOSX/blog/._marketing-and-sales-alignment-abm,269
__MACOSX/blog/._wordpress-speed-optimization,269
__MACOSX/blog/._marketo-sandbox-what-it-is-and-what-it-isnt,269
__MACOSX/blog/._lead-management-lead-status-values,269
__MACOSX/blog/._how-virtual-events-will-evolve-in-2021,269
__MACOSX/blog/._marketing-automation-interview-questions,269
__MACOSX/blog/._reevaluate-your-customer-journey,269
__MACOSX/blog/._pardot-certification,269
__MACOSX/blog/._conversational-intelligence-technology-marketing-use-cases,269
__MACOSX/blog/._humanized-not-personalized-marketing,269
__MACOSX/blog/._growth-in-a-time-of-crisis,269
__MACOSX/blog/._developer-interview-solution-discovery,269
__MACOSX/blog/._growth-marketing-trends-2021,269
__MACOSX/blog/._employee-spotlight-meet-jay-jaime,269
__MACOSX/blog/._pros-cons-of-google-amp,269
__MACOSX/blog/._tag,269
__MACOSX/blog/._virtual-event-sponsorship,269
__MACOSX/blog/._choosing-a-virtual-event-platform-4-questions,269
__MACOSX/blog/._centralization-of-revenue-operations-revops,269
__MACOSX/blog/._supporting-employee-health-through-wellness-challenges,269
__MACOSX/blog/._how-to-promote-webinars,269
__MACOSX/blog/._virtual-event-platform-origins,269
__MACOSX/blog/._martech-platforms-challenges,269
__MACOSX/blog/._companies-doing-devrel-wrong,269
__MACOSX/blog/._how-to-build-effective-abm-strategy-infographic,269
__MACOSX/blog/._topics,269
__MACOSX/blog/._what-is-developer-marketing,269
__MACOSX/blog/._integrated-marketing-lessons-from-entertaining,269
__MACOSX/blog/._paid-media-abm-program,269
__MACOSX/blog/._employee-spotlight-meet-darren-yuen,269
__MACOSX/blog/._how-to-take-a-contacts-only-approach-to-crm,269
__MACOSX/blog/._replacing-postponed-events,269
__MACOSX/blog/._marketo-lead-logs,269
blog-posts-resources/index.html,81880
__MACOSX/blog-posts-resources/._index.html,331
dictionary/index.html,38079
__MACOSX/dictionary/._index.html,269
__MACOSX/dictionary/._prospect,269
__MACOSX/dictionary/._drayage,269
__MACOSX/dictionary/._doing-business-as-dba,269
__MACOSX/dictionary/._closed-loop-marketing-clm,269
__MACOSX/dictionary/._monthly-recurring-revenue-mrr,269
__MACOSX/dictionary/._proof-of-concept-poc,269
__MACOSX/dictionary/._pay-per-click-ppc,269
__MACOSX/dictionary/._dark,269
__MACOSX/dictionary/._feature,269
__MACOSX/dictionary/._click-through-rates,269
behind-the-screens-test/index.html,40799
__MACOSX/behind-the-screens-test/._index.html,269
demandbase-preview/index.html,47203
__MACOSX/demandbase-preview/._index.html,269
__MACOSX/expertise/._event-demand-gen,269
__MACOSX/expertise/._developer-marketing,269
expertise/index.html,136
__MACOSX/expertise/._index.html,269
__MACOSX/expertise/._gaming-demand-gen,269
__MACOSX/expertise/._partner-marketing,269
__MACOSX/expertise/._creator-marketing,269
__MACOSX/expertise/._virtual-events-2021,269
services/index.html,81793
__MACOSX/services/._index.html,269
dictionary-topics/demand-gen/index.html,38440
__MACOSX/dictionary-topics/demand-gen/._index.html,330
dictionary-topics/sales/index.html,40416
__MACOSX/dictionary-topics/sales/._index.html,269
dictionary-topics/event-planning/index.html,38452
__MACOSX/dictionary-topics/event-planning/._index.html,269
dictionary-topics/martech/index.html,38850
__MACOSX/dictionary-topics/martech/._index.html,269
about-us/our-people/index.html,55699
__MACOSX/about-us/our-people/._index.html,269
about-us/our-partners/index.html,44605
__MACOSX/about-us/our-partners/._index.html,269
__MACOSX/about-us/our-partners/._heysummit,269
blog/growing-a-developer-community/index.html,47735
__MACOSX/blog/growing-a-developer-community/._index.html,269
blog/why-im-optimistic-about-marketing-in-2023/index.html,48602
__MACOSX/blog/why-im-optimistic-about-marketing-in-2023/._index.html,269
blog/employee-spotlight-meet-jordan-stoner/index.html,44830
__MACOSX/blog/employee-spotlight-meet-jordan-stoner/._index.html,269
blog/dont-fear-a-lack-of-email-engagement/index.html,46752
__MACOSX/blog/dont-fear-a-lack-of-email-engagement/._index.html,269
blog/are-you-co-marketing-or-co-selling/index.html,46896
__MACOSX/blog/are-you-co-marketing-or-co-selling/._index.html,269
blog/iron-horse-2021-awards/index.html,46837
__MACOSX/blog/iron-horse-2021-awards/._index.html,269
blog/revops-drivers/index.html,47127
__MACOSX/blog/revops-drivers/._index.html,269
blog/should-you-host-a-hybrid-event/index.html,48955
__MACOSX/blog/should-you-host-a-hybrid-event/._index.html,269
blog/case-study-bringing-brillio-message/index.html,45059
__MACOSX/blog/case-study-bringing-brillio-message/._index.html,269
blog/inside-iron-horse-meet-madison-shaw/index.html,44979
__MACOSX/blog/inside-iron-horse-meet-madison-shaw/._index.html,269
blog/what-is-account-based-marketing/index.html,48223
__MACOSX/blog/what-is-account-based-marketing/._index.html,269
blog/why-developer-acquisition-matters/index.html,46844
__MACOSX/blog/why-developer-acquisition-matters/._index.html,269
blog/why-we-recommend-unique-lead-management/index.html,46673
__MACOSX/blog/why-we-recommend-unique-lead-management/._index.html,269
__MACOSX/blog/category/._abm,269
__MACOSX/blog/category/._demand-gen,269
__MACOSX/blog/category/._developer-marketing,269
__MACOSX/blog/category/._partner-marketing,269
__MACOSX/blog/category/._virtual-events,269
__MACOSX/blog/category/._cmo-strategy,269
__MACOSX/blog/category/._emerging-technology,269
__MACOSX/blog/category/._culture,269
blog/preparing-for-ccpa/index.html,46426
__MACOSX/blog/preparing-for-ccpa/._index.html,269
blog/midmarket-marketing-teams-budgeting-reporting/index.html,46519
__MACOSX/blog/midmarket-marketing-teams-budgeting-reporting/._index.html,269
blog/drive-successful-partnership-marketing-outcomes/index.html,48192
__MACOSX/blog/drive-successful-partnership-marketing-outcomes/._index.html,269
blog/five-lessons-from-developer-marketing-for-abm-infographic/index.html,45470
__MACOSX/blog/five-lessons-from-developer-marketing-for-abm-infographic/._index.html,269
blog/frankenstein-the-state-of-b2b-data/index.html,47070
__MACOSX/blog/frankenstein-the-state-of-b2b-data/._index.html,269
blog/developer-marketing-content/index.html,46834
__MACOSX/blog/developer-marketing-content/._index.html,269
blog/revops-benefits/index.html,47165
__MACOSX/blog/revops-benefits/._index.html,269
blog/inside-iron-horse-meet-maddie-tein/index.html,45255
__MACOSX/blog/inside-iron-horse-meet-maddie-tein/._index.html,269
blog/marketing-automation-avoiding-manual-traps/index.html,47834
__MACOSX/blog/marketing-automation-avoiding-manual-traps/._index.html,269
blog/four-fundamental-models-hybrid-events/index.html,47686
__MACOSX/blog/four-fundamental-models-hybrid-events/._index.html,269
blog/inside-iron-horse-meet-robert-kane/index.html,44996
__MACOSX/blog/inside-iron-horse-meet-robert-kane/._index.html,269
blog/what-is-b2b-growth-marketing/index.html,49247
__MACOSX/blog/what-is-b2b-growth-marketing/._index.html,269
blog/humanize-account-based-marketing-content-strategy/index.html,49073
__MACOSX/blog/humanize-account-based-marketing-content-strategy/._index.html,269
blog/martech-selection/index.html,46302
__MACOSX/blog/martech-selection/._index.html,269
__MACOSX/blog/author/._logan,269
__MACOSX/blog/author/._ezra,269
__MACOSX/blog/author/._kenny,269
__MACOSX/blog/author/._amber,269
__MACOSX/blog/author/._ihi-admin,269
blog/digital-experiences-for-abm/index.html,49615
__MACOSX/blog/digital-experiences-for-abm/._index.html,269
blog/how-to-use-intent-data/index.html,48518
__MACOSX/blog/how-to-use-intent-data/._index.html,269
blog/what-is-devrel/index.html,46945
__MACOSX/blog/what-is-devrel/._index.html,269
blog/employee-spotlight-meet-kat-andersson/index.html,45165
__MACOSX/blog/employee-spotlight-meet-kat-andersson/._index.html,269
blog/dont-use-leads-only-use-contacts-in-your-crm/index.html,48002
__MACOSX/blog/dont-use-leads-only-use-contacts-in-your-crm/._index.html,269
blog/digital-experiences-for-abm-2/index.html,49707
__MACOSX/blog/digital-experiences-for-abm-2/._index.html,269
blog/tech-vs-developer-marketing/index.html,47967
__MACOSX/blog/tech-vs-developer-marketing/._index.html,269
blog/marketing-needs-project-management-software/index.html,47070
__MACOSX/blog/marketing-needs-project-management-software/._index.html,269
blog/virtual-event-analytics/index.html,48577
__MACOSX/blog/virtual-event-analytics/._index.html,269
blog/partnership-agreement-questions-to-ask/index.html,50097
__MACOSX/blog/partnership-agreement-questions-to-ask/._index.html,269
blog/virtual-events-differ-from-physical-events/index.html,47978
__MACOSX/blog/virtual-events-differ-from-physical-events/._index.html,269
blog/making-the-case-for-not-using-leads-in-your-crm/index.html,47736
__MACOSX/blog/making-the-case-for-not-using-leads-in-your-crm/._index.html,269
blog/b2b-marketing-predictions-2023/index.html,47688
__MACOSX/blog/b2b-marketing-predictions-2023/._index.html,269
blog/why-partnership-marketing-programs-fail/index.html,47658
__MACOSX/blog/why-partnership-marketing-programs-fail/._index.html,269
blog/virtual-conference-best-practices-for-b2b-enterprises/index.html,48360
__MACOSX/blog/virtual-conference-best-practices-for-b2b-enterprises/._index.html,269
blog/attendee-engagement-at-virtual-events/index.html,48646
__MACOSX/blog/attendee-engagement-at-virtual-events/._index.html,269
blog/omnichannel-abm-strategy/index.html,49040
__MACOSX/blog/omnichannel-abm-strategy/._index.html,269
blog/5-issues-to-consider-when-buying-marketing-automation/index.html,46659
__MACOSX/blog/5-issues-to-consider-when-buying-marketing-automation/._index.html,269
blog/b2b-marketing-event-goals/index.html,46190
__MACOSX/blog/b2b-marketing-event-goals/._index.html,269
blog/personalization-infographic/index.html,45514
__MACOSX/blog/personalization-infographic/._index.html,269
blog/what-wellness-means-to-ironhorse/index.html,48375
__MACOSX/blog/what-wellness-means-to-ironhorse/._index.html,269
blog/beyond-developer-acquisition-to-advocacy/index.html,47428
__MACOSX/blog/beyond-developer-acquisition-to-advocacy/._index.html,269
blog/using-multiple-marketing-automation-platforms-pros-cons/index.html,47369
__MACOSX/blog/using-multiple-marketing-automation-platforms-pros-cons/._index.html,269
blog/2022-enterprise-b2b-tech-marketing-benchmarks-report-findings/index.html,47564
__MACOSX/blog/2022-enterprise-b2b-tech-marketing-benchmarks-report-findings/._index.html,269
blog/inside-iron-horse-meet-zeb-khan/index.html,45078
__MACOSX/blog/inside-iron-horse-meet-zeb-khan/._index.html,269
blog/marketo-bot-filtering/index.html,46739
__MACOSX/blog/marketo-bot-filtering/._index.html,269
blog/pillars-of-b2b-marketing-maturity/index.html,48901
__MACOSX/blog/pillars-of-b2b-marketing-maturity/._index.html,269
blog/virtual-event-planning/index.html,48116
__MACOSX/blog/virtual-event-planning/._index.html,269
blog/lead-management-point-of-interest-hybrid-unique/index.html,47304
__MACOSX/blog/lead-management-point-of-interest-hybrid-unique/._index.html,269
blog/lead-thresholding-dont-do-it/index.html,47234
__MACOSX/blog/lead-thresholding-dont-do-it/._index.html,269
blog/best-virtual-event-examples/index.html,48098
__MACOSX/blog/best-virtual-event-examples/._index.html,269
blog/why-developer-communities-matter-to-developers/index.html,46667
__MACOSX/blog/why-developer-communities-matter-to-developers/._index.html,269
blog/employee-spotlight-meet-aubrie-harper/index.html,45079
__MACOSX/blog/employee-spotlight-meet-aubrie-harper/._index.html,269
blog/employee-spotlight-meet-monica-behncke/index.html,45343
__MACOSX/blog/employee-spotlight-meet-monica-behncke/._index.html,269
blog/dont-build-a-customer-success-function/index.html,47378
__MACOSX/blog/dont-build-a-customer-success-function/._index.html,269
blog/hiring-developer-marketing-manager/index.html,47748
__MACOSX/blog/hiring-developer-marketing-manager/._index.html,269
blog/b2c-marketers-budget-plan-better-than-b2b/index.html,47021
__MACOSX/blog/b2c-marketers-budget-plan-better-than-b2b/._index.html,269
blog/employee-spotlight-meet-ezra-hockman/index.html,45003
__MACOSX/blog/employee-spotlight-meet-ezra-hockman/._index.html,269
blog/can-a-digital-marketing-agency-help-navigate-2023/index.html,48085
__MACOSX/blog/can-a-digital-marketing-agency-help-navigate-2023/._index.html,269
blog/chatbots-must-have-for-virtual-events/index.html,47331
__MACOSX/blog/chatbots-must-have-for-virtual-events/._index.html,269
blog/company-culture-must-be-intentionally-created/index.html,48733
__MACOSX/blog/company-culture-must-be-intentionally-created/._index.html,269
blog/get-started-revops/index.html,47056
__MACOSX/blog/get-started-revops/._index.html,269
blog/anonymous-to-advocate-using-the-right-developer-marketing-metrics/index.html,46959
__MACOSX/blog/anonymous-to-advocate-using-the-right-developer-marketing-metrics/._index.html,269
blog/evolving-marketing-measurement/index.html,48236
